e, e_dot, e_int, stamp, 
-0.3327157515469408, 0.0, -0.06654315030938815, 8066000000, 
-0.3316355716522392, 0.003600599649005165, -0.06647113831640805, 14866000000, 
-0.3317011385503207, 0.003382043322066967, -0.06640349744996671, 14934000000, 
-0.33189950861850814, -0.0008797898875630613, -0.06634908125473787, 15036000000, 
-0.33260640551090115, -0.003017556535268214, -0.06641380351198199, 15104000000, 
-0.32057246056762095, 0.037756826836290634, -0.06567189164646868, 15206000000, 
-0.29662351174398777, 0.1199429792230446, -0.06332015852150065, 15308000000, 
-0.26826902870243496, 0.1743447728839533, -0.05903100006760291, 15376000000, 
-0.24333203775126916, 0.17763824664239536, -0.05388163854651278, 15478000000, 
-0.24333203775126916, 0.08312330317055268, -0.05032887361366488, 15478000000, 
-0.19266341019380395, 0.16889542519155068, -0.04528849904642282, 15648000000, 
-0.1708809624455665, 0.2415035843523422, -0.04045842735937598, 15750000000, 
-0.1570957726711302, 0.11855879174224583, -0.03470934302070004, 15818000000, 
-0.14365949853359308, 0.09073821303991138, -0.03144241557668598, 15920000000, 
-0.1305094472959638, 0.08862108458388797, -0.02875098123337914, 16022000000, 
-0.1264419106064428, 0.0573919597571676, -0.026707390429066644, 16124000000, 
-0.12225489435373152, 0.027515176474107634, -0.025280416817075876, 16226000000, 
-0.11337044463807106, 0.043571553227905825, -0.024137816639883024, 16294000000, 
-0.10888884124500262, 0.04455351036242968, -0.022967612015787012, 16396000000, 
-0.10415588667778758, 0.03071519320094492, -0.021761011504057418, 16498000000, 
-0.0980674248408693, 0.036071388013777704, -0.020740810184243966, 16566000000, 
-0.08984140025404713, 0.04771495474580149, -0.019470980784846933, 16668000000, 
-0.08378718977629884, 0.047600783548568205, -0.01811306765808102, 16770000000, 
-0.07737039591075018, 0.041570014477656514, -0.01673326572940641, 16872000000, 
-0.0688146313624281, 0.0499085280462358, -0.015331481136631808, 16974000000, 
-0.06358761318421913, 0.04594260908843684, -0.013984842697159827, 17042000000, 
-0.059049505648614775, 0.03255041904604442, -0.012763450013017466, 17144000000, 
-0.05253371804226731, 0.0368463171398394, -0.011678055791673414, 17246000000, 
-0.04857547898015441, 0.03491342222820123, -0.010677246844735765, 17314000000, 
-0.04521867082082842, 0.02438349073812962, -0.00975519118955001, 17416000000, 
-0.040062766738029554, 0.028375707473749512, -0.008923794435934159, 17518000000, 
-0.037570901628574016, 0.025492563974181353, -0.0081901559458288, 17620000000, 
-0.035488510316271205, 0.015247521405861164, -0.007541478578858318, 17688000000, 
-0.033313381392008845, 0.014191734121883903, -0.007091519555790271, 17790000000, 
-0.0290351743902168, 0.02151111975351468, -0.006522471073233123, 17892000000, 
-0.02743991651010458, 0.01957821627301422, -0.0059858981528220145, 17960000000, 
-0.02567706054841784, 0.011193712805996533, -0.005476810096582615, 18062000000, 
-0.021495823801497727, 0.019813642362022838, -0.004974186724001343, 18164000000, 
-0.019712284277854764, 0.01988258756854359, -0.0044590112418513555, 18232000000, 
-0.01822910455081156, 0.010889064168953891, -0.003962480842010937, 18300000000, 
-0.014894549966295578, 0.016059114371863952, -0.0035223959196641268, 18402000000, 
-0.013843888670446336, 0.014617386267884077, -0.0031311695458368983, 18504000000, 
-0.012962025091683649, 0.0064417495820397646, -0.0027800309152283707, 18572000000, 
-0.010007285509990582, 0.01278867720151918, -0.0024542132848080376, 18674000000, 
-0.009522753448675092, 0.011464238810028523, -0.0021661376033566214, 18776000000, 
-0.009264606133368214, 0.0024755979220745608, -0.0019196430061355924, 18878000000, 
-0.00641605722758648, 0.010355654070295373, -0.0016802277873086524, 18980000000, 
-0.006002941784229721, 0.01087221449712831, -0.0014455736763456276, 19048000000, 
-0.00588742154484051, 0.001762118942486568, -0.0012204280371104473, 19150000000, 
-0.0031224656913332316, 0.00960158697632163, -0.0010008552680268975, 19252000000, 
-0.0027681550053712534, 0.010397555131564188, -0.0007852028161029997, 19354000000, 
-0.0028165023132786793, 0.0010198779268485076, -0.0005804748673322109, 19456000000, 
-0.0003363739862732862, 0.008105936730326557, -0.00039473542032821457, 19524000000, 
-0.0002875272652973493, 0.008429916826604433, -0.00022936023765662099, 19626000000, 
-0.0006086192802796098, -0.0009074843133544119, -8.216803545668302e-05, 19728000000, 
0.0016473623237930335, 0.0064496319636346095, 5.008105188107163e-05, 19830000000, 
0.001514882052355171, 0.007078337775449269, 0.0001702416730579063, 19932000000, 
0.0010346060613520836, -0.0020425208748031665, 0.00027979002916668586, 20000000000, 
0.0008666492692003258, -0.0021607759438494836, 0.00022774249219383868, 20102000000, 
0.003124281748663249, 0.006965585624370552, 0.0003350358052810439, 20204000000, 
0.002652130001768782, 0.005951602441894854, 0.0004428707346421571, 20306000000, 
0.0021595792624986565, -0.003215674953881975, 0.0005290660675287125, 20374000000, 
0.004139765662018069, 0.0049587855341642895, 0.0005967649950857005, 20476000000, 
0.0037740304061698593, 0.005381503812237343, 0.0006715583553791056, 20578000000, 
0.0032639886948493957, -0.002919256557228911, 0.0007451856508691549, 20680000000, 
0.005462692286051729, 0.005628872932939566, 0.0008333807591380656, 20782000000, 
0.005345486658244303, 0.006938326544649691, 0.0009381445092763618, 20884000000, 
0.004812255112867148, -0.0021681239106152717, 0.0010413622704775452, 20952000000, 
0.006816229935106943, 0.004902477589542135, 0.001131598113747893, 21054000000, 
0.006477404547624299, 0.005550498115857172, 0.001207059306373226, 21156000000, 
0.005804750053992114, -0.0033715996037160987, 0.001273225635781557, 21224000000, 
0.0076545259202451255, 0.003923737908736087, 0.0013291120347907691, 21326000000, 
0.0071345926745617905, 0.004432808735232256, 0.001372924576586602, 21428000000, 
0.0063477590082368085, -0.00435588970669439, 0.0014091251735362483, 21496000000, 
0.008124438270139644, 0.0032994853185928466, 0.0014404526635292162, 21598000000, 
0.0076004485378764475, 0.0041756317654654635, 0.0014715097210835266, 21700000000, 
0.0067716692148808155, -0.004509230184196096, 0.0014997704015264604, 21802000000, 
0.00845235944380296, 0.002839703019755039, 0.0015216318131040147, 21870000000, 
0.007907229236776003, 0.0037852000729839594, 0.0015420838596973186, 21972000000, 
0.007077474607285361, -0.00458294945505866, 0.0015624708858576215, 22074000000, 
0.008748121626683258, 0.0028029746330241836, 0.0015821883647163081, 22176000000, 
0.008224195066066142, 0.0038224015292692703, 0.0016033194200023174, 22244000000, 
0.007423475269558999, -0.004415487857080865, 0.00162638613082056, 22346000000, 
0.008887896186512312, 0.0022123370681538987, 0.0016357044348091635, 22414000000, 
0.008169699552294962, 0.0024874142757865445, 0.0016320714005577516, 22516000000, 
0.007564178185035131, -0.00441239333825727, 0.0016414515949228269, 22618000000, 
0.009249080756743522, 0.003597937348161865, 0.0016655305662715743, 22720000000, 
0.008876371862717614, 0.0043739789256082755, 0.0017126420536330844, 22788000000, 
0.008404844752688823, -0.002814120013515664, 0.0017686864914766638, 22890000000, 
0.01012655488933123, 0.00416727675537872, 0.001827184766982511, 22992000000, 
0.009764628330462322, 0.004532611925911663, 0.0018864018648321582, 23060000000, 
0.009270177066598995, -0.0028545927424407833, 0.001944090685759503, 23162000000, 
0.010852927573756832, 0.003627664144315035, 0.0019925155313878767, 23264000000, 
0.01014106508489504, 0.002902960060986818, 0.0020176113150167244, 23366000000, 
0.009134231303801088, -0.005728987566519146, 0.0020085482641635307, 23468000000, 
0.010423871175609611, 0.000942686969048571, 0.001979944504287049, 23536000000, 
0.009601760369583379, 0.001558430219274302, 0.001943990856599605, 23638000000, 
0.008567759285370569, -0.006187039634130143, 0.0019062260553709038, 23740000000, 
0.007820986728387769, -0.0059359121373187, 0.0017327004255561144, 23842000000, 
0.009459400951993713, 0.002972138888743814, 0.0017232097977168033, 23910000000, 
0.008906884800262638, 0.0036196602395828967, 0.0017458181653762746, 24012000000, 
0.008410469670793341, -0.003496437604001238, 0.0017851170282033129, 24114000000, 
0.01014586330567091, 0.004129928351360908, 0.0018308811851151258, 24216000000, 
0.009607212549743671, 0.003989142929834433, 0.0018775697017471948, 24284000000, 
0.008840791996612252, -0.004350237696862195, 0.0019062578568017888, 24386000000, 
0.010307453467259087, 0.002334136391718052, 0.0019170305342410005, 24488000000, 
0.009664210516134697, 0.0027447283984081508, 0.001920830398667069, 24590000000, 
0.008727487858533278, -0.005266552029086029, 0.001913276789461804, 24658000000, 
0.010026463943474895, 0.0012075114244673262, 0.001894544154542858, 24760000000, 
0.00933247002373322, 0.0020166072173331364, 0.0018724281217160927, 24862000000, 
0.008371493182098344, -0.005516569204588502, 0.0018486951432870973, 24964000000, 
0.009705831855999825, 0.001244539440888685, 0.0018273196707887592, 25066000000, 
0.009182040510603784, 0.002701824428351466, 0.0018172910365801302, 25134000000, 
0.008351146593605752, -0.004515617541313577, 0.0018159345973472907, 25236000000, 
0.009660839389570353, 0.0015959962632218956, 0.0018129350995853258, 25338000000, 
0.009100883667978232, 0.0024991235812416024, 0.001807524643410289, 25440000000, 
0.008299132315948643, -0.004539023578739032, 0.0018040570248998153, 25508000000, 
0.009583958906501766, 0.0016102507950784457, 0.0017989316593619094, 25610000000, 
0.008961481212972133, 0.0022078296567449676, 0.0017896381623615028, 25712000000, 
0.008111142965061935, -0.004909386471466104, 0.0017771055389690555, 25814000000, 
0.009374220625305463, 0.0013757980411110982, 0.001763122986889302, 25916000000, 
0.008859640706259608, 0.0024949924706589113, 0.0017563336197751337, 25984000000, 
0.008047642417170708, -0.004421927360449181, 0.0017521002499157187, 26086000000, 
0.009266115610242653, 0.0013549163466101504, 0.0017448932489115313, 26188000000, 
0.008710202187518612, 0.0022085325678263454, 0.0017349306809954649, 26290000000, 
0.00790616148762796, -0.004533180408715642, 0.0017254986190259483, 26392000000, 
0.009054153543742838, 0.0011465045207474194, 0.0017113678145926274, 26460000000, 
0.008442166907410453, 0.0017866847326083086, 0.00169349879591875, 26562000000, 
0.007638530754059514, -0.004718742632277746, 0.001675656747014187, 26664000000, 
0.00860268924869595, 0.0005350744709516538, 0.0016455591273443944, 26732000000, 
0.007756131870468808, 0.0003920037213643128, 0.0015998234582149514, 26834000000, 
0.0069135125821107035, -0.005630588888617487, 0.0015514889134183641, 26936000000, 
0.007878445016014535, 0.0004077104851524238, 0.0015032059645729364, 27004000000, 
0.007055277383933967, 0.00047254933941087707, 0.0014564823321372804, 27106000000, 
0.0062922405825435734, -0.005287348111569871, 0.001415064198832805, 27208000000, 
0.007517272188943047, 0.0015399826833636017, 0.0013909860103613724, 27310000000, 
0.007125592565472516, 0.0027778399430964753, 0.0013956736891306092, 27412000000, 
0.0065373206241916, -0.003266505215838156, 0.0014120123585738109, 27514000000, 
0.007815798202871371, 0.002300685457996184, 0.0014319140928356993, 27616000000, 
0.007481482170595355, 0.0031472051546791815, 0.0014556400665105551, 27684000000, 
0.006814807039623116, -0.0033366372108275164, 0.001474139160872656, 27786000000, 
0.00788414699187523, 0.001342216070932915, 0.0014786957468062468, 27888000000, 
0.0073969656635335945, 0.0019405287463682603, 0.0014730613130021293, 27990000000, 
0.006675709686441156, -0.004028124351446912, 0.0014637881561233319, 28092000000, 
0.007643355579021016, 0.0008212997182914054, 0.0014477353952663844, 28160000000, 
0.007117495684510644, 0.0014726199935649609, 0.001429104063331521, 28262000000, 
0.006414787721816195, -0.0040952261906827365, 0.001411709265689857, 28364000000, 
0.007381328356425687, 0.00087944223971681, 0.0013942407841835017, 28466000000, 
0.006922810571342863, 0.001693409498422227, 0.001381261776638983, 28568000000, 
0.00628642980752353, -0.003649661829673856, 0.0013727045823528053, 28670000000, 
0.007253172462095225, 0.0011012063025078733, 0.001364160856064108, 28738000000, 
0.006789890796941367, 0.0016782032980594552, 0.001355299537770675, 28840000000, 
0.0061536122454444175, -0.0036652007221693594, 0.0013464450336320673, 28942000000, 
0.007078876318567573, 0.0009632850720873535, 0.0013348252907302237, 29044000000, 
0.006605574298766681, 0.0015065401777408782, 0.0013225375241852448, 29146000000, 
0.005955276750090777, -0.0037453318949226544, 0.0013093151578283354, 29214000000, 
0.006877629604334856, 0.0009068510185605838, 0.0012958987102128208, 29316000000, 
0.0064747269048379685, 0.0017315005158239731, 0.0012871755506175734, 29418000000, 
0.005876001560022603, -0.003338760147707509, 0.0012818905379463619, 29520000000, 
0.006774585300247882, 0.0009995279846997107, 0.001275020917673897, 29622000000, 
0.006418960902021098, 0.0018098644733283153, 0.0012713031841527721, 29690000000, 
