imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, odom_x, odom_y, stamp, 
-0.04746252834463616, 0.001304173990838244, -0.0007467015392517414, 5.341109155879539e-12, -3.0430746020032125e-05, -1.7551686548741077e-07, 5.810566495502713e-05, -9.871037000188627e-07, 5.772982013782262e-05, -9.871039670535098e-07, 5722000000, 
-0.04257397994842496, -0.004914022311054503, -0.0016779972949614874, 3.8724421557430775e-11, -0.00021944995045773571, -1.764612909533957e-07, 6.319223576518438e-05, -9.871001002023725e-07, 5.676735059500793e-05, -9.876780199197713e-07, 5822000000, 
-0.08031186146821753, -0.013142511163017526, -0.0038007881040399523, -1.0455326593226545e-12, -0.0006608822984755316, 1.5820255160932624e-09, 6.885453802059265e-05, -9.87095144444908e-07, 5.636385917397308e-05, -9.881505000327757e-07, 5917000000, 
-0.07361226195987763, 0.029723759035231393, -0.005946001236522299, 6.029514736638884e-10, -0.0009124574988462419, -6.607995160610672e-07, 8.826542511942344e-05, -9.870781710015814e-07, 5.704823750804956e-05, -9.883936963898416e-07, 6017000000, 
-0.0810292476468617, 0.007427774494282299, -0.008510047419884929, 5.011102467460749e-10, -0.0012380638151057027, -4.0475316428118964e-07, 0.00011720158664048272, -9.87054142616293e-07, 5.8333285480600746e-05, -9.888035409061708e-07, 6117000000, 
-0.05365723425818216, -0.019164081649386853, -0.009940254192425838, -9.701156409026753e-10, -0.0014757099235275786, 6.573891151884941e-07, 0.00014361653973509435, -9.870309338477355e-07, 5.877912250826255e-05, -9.893713483356273e-07, 6212000000, 
-0.05807568823131363, 0.019299661078312397, -0.011518031003059129, 1.5892821055006464e-09, -0.0017385038546724883, -9.141665698521253e-07, 0.00017095229309949578, -9.87003113801984e-07, 5.8074207294379124e-05, -9.902268295621538e-07, 6312000000, 
-0.0631981288984495, 0.011978972650314758, -0.013226577947626892, 2.243042060333797e-09, -0.0020267398793176517, -1.1067241944679e-06, 0.00019974240430682414, -9.86979309127291e-07, 5.714547885253822e-05, -9.910084974988934e-07, 6408000000, 
-0.06673337809027335, -0.01204899842333915, -0.014953393870837463, -1.1751586912816718e-09, -0.002309692357652748, 5.087944666691198e-07, 0.00023035523193868846, -9.86948900862101e-07, 5.697002754498016e-05, -9.91590441091783e-07, 6508000000, 
-0.07552626957334119, -0.00766838809609413, -0.01694383759469853, -2.0464293582267907e-09, -0.002632343232503399, 7.774173720805417e-07, 0.0002641532593394376, -9.869102430149535e-07, 5.762062065972514e-05, -9.917918376895538e-07, 6603000000, 
-0.0711409282195406, 0.003369556815937629, -0.01845987697205459, 3.2624113932866364e-10, -0.002907902368352315, -1.1219122859118528e-07, 0.00029320328869787503, -9.868868662748017e-07, 5.832339349577698e-05, -9.920631753026342e-07, 6703000000, 
-0.0508075566074943, -0.005046199783189151, -0.018666846040374913, -1.2678993342339476e-09, -0.0030196881204095595, 4.198775779738415e-07, 0.0003064719083206797, -9.868898612962506e-07, 5.843157300394789e-05, -9.923794014704118e-07, 6798000000, 
-0.05769670993906964, -0.01253479525189691, -0.019190153712828548, -4.271974999467435e-09, -0.0031434498070372473, 1.3590084975760568e-06, 0.00031962294665200666, -9.86894703106096e-07, 5.797811911789738e-05, -9.928917036990715e-07, 6898000000, 
-0.041227449328753545, 0.01002915086600565, -0.018709777373460416, 2.4730280024563884e-09, -0.0031323731623317803, -7.895061904487246e-07, 0.0003193891189178758, -9.869042870649308e-07, 5.738505837757409e-05, -9.933462994160797e-07, 6998000000, 
-0.06606124019870155, -0.0018323434230872377, -0.01963937804446012, 1.9071561066750857e-10, -0.003269072553646566, -5.833936308778776e-08, 0.000333073427083179, -9.86923192654615e-07, 5.7325093391214884e-05, -9.936813402903235e-07, 7093000000, 
-0.06642120761502965, 0.008183388596819552, -0.020460930016058594, 3.289275957372837e-09, -0.0033951008720602416, -9.68830111777154e-07, 0.0003469649742047139, -9.869146762085515e-07, 5.777227507065325e-05, -9.937730167800196e-07, 7188000000, 
-0.08552005312764487, -0.03506474824940066, -0.022236258512415216, -1.4037417916554201e-08, -0.0036446414549659487, 3.851522321195063e-06, 0.0003724292535238954, -9.869226019036028e-07, 5.811110054635607e-05, -9.937707890612823e-07, 7283000000, 
-0.05641446423191216, -0.015580319868656487, -0.022125495602983124, -1.1362782323779389e-08, -0.0036887199319581327, 3.080413404480814e-06, 0.00037656624919911566, -9.869343627841964e-07, 5.806203560831903e-05, -9.94059543771181e-07, 7378000000, 
-0.05827768140912506, -0.027145111770116803, -0.022128915037651648, -1.6193272696483302e-08, -0.0037089543766253307, 4.3659940382488845e-06, 0.0003809131159229215, -9.87031898770876e-07, 5.786289652804082e-05, -9.941899045160245e-07, 7478000000, 
-0.05713861605851882, 0.01813323394216098, -0.022044521071626653, 4.171423445567366e-09, -0.003726019087234613, -1.119538936303014e-06, 0.0003817208808805706, -9.87133802452506e-07, 5.755475410937401e-05, -9.943720653920926e-07, 7578000000, 
-0.05464161380541, 0.02420101449424926, -0.02182027831831847, 1.312464290710141e-08, -0.0037097922373893347, -3.5378377190032403e-06, 0.00038050306482877454, -9.872470329930269e-07, 5.760016425584487e-05, -9.944087802218653e-07, 7673000000, 
-0.08027836722738249, -0.02162786511013757, -0.023082120939840887, -6.724441835031676e-09, -0.003853739860927477, 1.7449132732621213e-06, 0.0003977309965154586, -9.873059908399238e-07, 5.787497383131256e-05, -9.943592599815008e-07, 7768000000, 
-0.057679962967371594, 0.03020967115457177, -0.022899517250009327, 1.4033258446544216e-08, -0.00385850571266889, -3.6369671296501856e-06, 0.0003980559767344643, -9.872485933380464e-07, 5.802579180371994e-05, -9.94312845121496e-07, 7863000000, 
-0.048273687554207155, 0.007027011902418018, -0.02218863116571023, 7.940777492026207e-09, -0.003794426631044478, -2.0927476702429687e-06, 0.0003899906404911763, -9.87234082698988e-07, 5.797951156688863e-05, -9.943824770749315e-07, 7959000000, 
-0.07052296860500719, 0.024706306588776535, -0.022836506654791044, 1.5306864740753764e-08, -0.003857490680873212, -3.968088585839119e-06, 0.0003985403756009017, -9.871245536639968e-07, 5.7772182309404594e-05, -9.944215736018296e-07, 8054000000, 
-0.03125395533966412, -0.013258841647994167, -0.02118071151128217, -2.075494926137831e-09, -0.0036649451219270502, 5.663099602011294e-07, 0.00037911785688528435, -9.870480844795676e-07, 5.765310353123913e-05, -9.943525256788577e-07, 8154000000, 
-0.05755540975669791, -0.013115828172632321, -0.0005452986603408302, -2.005093150817457e-09, -0.0011138679149260977, 1.800117521968922e-06, -0.004817660449605313, -9.897063815577644e-07, 5.830065006265324e-05, -9.943562238178286e-07, 14960000000, 
-0.04806096712693966, 0.0033846022656238194, -0.0012148665523063922, -2.0173270073446377e-10, -0.0005964206312336345, 3.3823897123947656e-07, -0.004499282745619455, -9.89759920590086e-07, 5.8272472171076354e-05, -9.943685426119103e-07, 15022000000, 
